"","ticker","time","open","high","low","close","volume","datetime"
"1","US1.ADBE","09:31",566.84,566.84,566.84,566.84,100,2022-01-03 09:31:00
"2","US1.ADBE","09:32",573.32,574.15,573.32,574.15,700,2022-01-03 09:32:00
"3","US1.ADBE","09:34",573.85,573.99,573.85,573.99,200,2022-01-03 09:34:00
"4","US1.ADBE","09:35",573.63,573.7,572.51,572.51,600,2022-01-03 09:35:00
"5","US1.ADBE","09:36",571.96,571.96,571.38,571.38,500,2022-01-03 09:36:00
"6","US1.ADBE","09:39",571.12,571.12,571.08,571.08,500,2022-01-03 09:39:00
"7","US1.ADBE","09:41",566.57,567.01,566.57,567.01,200,2022-01-03 09:41:00
"8","US1.ADBE","09:42",565.14,565.14,565.14,565.14,100,2022-01-03 09:42:00
"9","US1.ADBE","09:43",564,564.04,564,564.04,400,2022-01-03 09:43:00
"10","US1.ADBE","09:44",564.31,564.31,564.31,564.31,100,2022-01-03 09:44:00
"11","US1.ADBE","09:45",563.92,563.92,561.51,561.51,871,2022-01-03 09:45:00
"12","US1.ADBE","09:46",561.41,561.41,561.41,561.41,100,2022-01-03 09:46:00
"13","US1.ADBE","09:47",562.12,562.12,562.12,562.12,100,2022-01-03 09:47:00
"14","US1.ADBE","09:48",559.79,559.79,559.65,559.68,300,2022-01-03 09:48:00
"15","US1.ADBE","09:49",558.8,558.8,558.8,558.8,131,2022-01-03 09:49:00
"16","US1.ADBE","09:50",558.72,558.72,558.63,558.63,416,2022-01-03 09:50:00
"17","US1.ADBE","09:51",558.28,558.28,557,557.545,725,2022-01-03 09:51:00
"18","US1.ADBE","09:52",557.63,557.79,556.295,556.295,1521,2022-01-03 09:52:00
"19","US1.ADBE","09:53",557.5,557.5,557.42,557.42,300,2022-01-03 09:53:00
"20","US1.ADBE","09:55",556.66,556.66,555.94,555.94,300,2022-01-03 09:55:00
"21","US1.ADBE","09:56",554.91,554.91,554.08,554.44,2275,2022-01-03 09:56:00
"22","US1.ADBE","09:57",554.535,555.5,554.535,555.5,225,2022-01-03 09:57:00
"23","US1.ADBE","09:58",555.29,555.29,554.97,554.97,200,2022-01-03 09:58:00
"24","US1.ADBE","09:59",556.12,556.12,555.27,555.27,300,2022-01-03 09:59:00
"25","US1.ADBE","10:00",554.62,554.97,554.49,554.75,400,2022-01-03 10:00:00
"26","US1.ADBE","10:01",554.54,555.71,554.5,555.71,708,2022-01-03 10:01:00
"27","US1.ADBE","10:02",555.805,555.805,555.805,555.805,100,2022-01-03 10:02:00
"28","US1.ADBE","10:03",556.13,556.13,555.25,555.25,1100,2022-01-03 10:03:00
"29","US1.ADBE","10:04",557.075,557.075,556.8,556.8,300,2022-01-03 10:04:00
"30","US1.ADBE","10:05",556.99,556.99,556.61,556.61,300,2022-01-03 10:05:00
"31","US1.ADBE","10:07",555.65,555.65,555.65,555.65,100,2022-01-03 10:07:00
"32","US1.ADBE","10:11",556.16,556.16,556.16,556.16,100,2022-01-03 10:11:00
"33","US1.ADBE","10:12",555.38,555.38,555.38,555.38,100,2022-01-03 10:12:00
"34","US1.ADBE","10:13",555.82,555.83,555.8,555.8,300,2022-01-03 10:13:00
"35","US1.ADBE","10:14",555.81,555.81,555.81,555.81,100,2022-01-03 10:14:00
"36","US1.ADBE","10:16",557.44,558.45,557.17,558.45,338,2022-01-03 10:16:00
"37","US1.ADBE","10:17",559.23,559.23,559.23,559.23,100,2022-01-03 10:17:00
"38","US1.ADBE","10:18",559.05,559.05,559.05,559.05,200,2022-01-03 10:18:00
"39","US1.ADBE","10:23",557.15,557.23,557.15,557.18,300,2022-01-03 10:23:00
"40","US1.ADBE","10:24",557.91,557.91,557.91,557.91,100,2022-01-03 10:24:00
"41","US1.ADBE","10:26",559.36,559.36,559.36,559.36,130,2022-01-03 10:26:00
"42","US1.ADBE","10:27",559.46,559.8,559.46,559.8,400,2022-01-03 10:27:00
"43","US1.ADBE","10:28",559.8,560.19,559.8,560.19,600,2022-01-03 10:28:00
"44","US1.ADBE","10:29",560.13,560.16,560.13,560.16,200,2022-01-03 10:29:00
"45","US1.ADBE","10:31",560.6,560.6,559.41,559.41,300,2022-01-03 10:31:00
"46","US1.ADBE","10:33",559.68,559.68,559.68,559.68,100,2022-01-03 10:33:00
"47","US1.ADBE","10:34",559.85,560.03,559.85,560.03,200,2022-01-03 10:34:00
"48","US1.ADBE","10:35",560.1,560.75,560.1,560.75,200,2022-01-03 10:35:00
"49","US1.ADBE","10:36",560.85,560.85,560.85,560.85,100,2022-01-03 10:36:00
"50","US1.ADBE","10:38",561.49,561.89,561.42,561.89,400,2022-01-03 10:38:00
"51","US1.ADBE","10:39",561.95,561.95,561.95,561.95,100,2022-01-03 10:39:00
"52","US1.ADBE","10:40",561.59,561.59,561.48,561.48,200,2022-01-03 10:40:00
"53","US1.ADBE","10:42",562.26,562.26,562.26,562.26,100,2022-01-03 10:42:00
"54","US1.ADBE","10:43",562.02,562.02,562.02,562.02,100,2022-01-03 10:43:00
