"","ticker","time","open","high","low","close","volume","datetime"
"1","US1.TSLA","09:31",1147.75,1148.58,1140.59,1142,11252,2022-01-03 09:31:00
"2","US1.TSLA","09:32",1140.06,1145.99,1136.61,1140.33,13499,2022-01-03 09:32:00
"3","US1.TSLA","09:33",1141,1146.65,1139.32,1146.65,6259,2022-01-03 09:33:00
"4","US1.TSLA","09:34",1146.43,1150,1143.61,1145.6,7064,2022-01-03 09:34:00
"5","US1.TSLA","09:35",1146.05,1147.49,1144.07,1145.57,4263,2022-01-03 09:35:00
"6","US1.TSLA","09:36",1144.48,1146.38,1142.86,1146.05,5715,2022-01-03 09:36:00
"7","US1.TSLA","09:37",1146.37,1155,1144.9,1155,7925,2022-01-03 09:37:00
"8","US1.TSLA","09:38",1153.2,1160.4,1153.2,1160.4,5495,2022-01-03 09:38:00
"9","US1.TSLA","09:39",1159.74,1161.35,1155.23,1157,6180,2022-01-03 09:39:00
"10","US1.TSLA","09:40",1156.98,1158.15,1154.31,1156,4212,2022-01-03 09:40:00
"11","US1.TSLA","09:41",1157.16,1162.27,1157.16,1161.52,9786,2022-01-03 09:41:00
"12","US1.TSLA","09:42",1160,1162.5,1156,1162.18,3737,2022-01-03 09:42:00
"13","US1.TSLA","09:43",1162,1170,1160.87,1166.41,5128,2022-01-03 09:43:00
"14","US1.TSLA","09:44",1166.57,1166.57,1163.14,1165,2599,2022-01-03 09:44:00
"15","US1.TSLA","09:45",1164.97,1166.66,1162,1165.16,6132,2022-01-03 09:45:00
"16","US1.TSLA","09:46",1165.645,1165.78,1162.03,1162.03,4025,2022-01-03 09:46:00
"17","US1.TSLA","09:47",1162.54,1163.43,1161.86,1162.77,1583,2022-01-03 09:47:00
"18","US1.TSLA","09:48",1162.51,1165.36,1159.51,1160.27,6338,2022-01-03 09:48:00
"19","US1.TSLA","09:49",1159,1159,1153.3,1153.3,2700,2022-01-03 09:49:00
"20","US1.TSLA","09:50",1151.82,1151.82,1144.56,1146,6996,2022-01-03 09:50:00
"21","US1.TSLA","09:51",1145.47,1145.47,1139.9,1145,2619,2022-01-03 09:51:00
"22","US1.TSLA","09:52",1145.26,1148.65,1144.02,1145.64,3910,2022-01-03 09:52:00
"23","US1.TSLA","09:53",1148.52,1151.95,1148.52,1150.05,3803,2022-01-03 09:53:00
